2022-06-16,1516,neutral,0.6611898
2022-06-16,1727,negative,0.8307167
2022-06-15,1819,positive,0.63510185
2022-06-15,511,positive,0.79499
2022-06-15,4275,neutral,0.57714707
2022-06-15,362,neutral,0.70302594
2022-06-15,1267,positive,0.50214773
2022-06-15,2415,neutral,0.5637466
2022-06-15,853,neutral,0.5293842
2022-06-15,472,neutral,0.6653408
2022-06-14,508,positive,0.5507728
2022-06-13,805,positive,0.92736566
2022-06-13,771,neutral,0.6488248
2022-06-10,432,positive,0.9396478
2022-06-10,359,neutral,0.68789726
2022-06-10,1115,negative,0.89246696
2022-06-10,1080,positive,0.95101535
2022-06-09,676,positive,0.8254235
2022-06-08,375,neutral,0.4791557
2022-06-07,1264,neutral,0.57299733
2022-06-07,1149,positive,0.7678145
2022-06-06,6103,positive,0.597956
2022-06-06,825,neutral,0.47919628
2022-06-03,753,positive,0.9013866
2022-06-03,547,positive,0.9056505
2022-06-03,8380,neutral,0.5681924
2022-06-02,2138,negative,0.50269705
2022-06-02,685,neutral,0.51945955
2022-06-01,467,neutral,0.8744243
2022-06-01,8261,positive,0.71354675
2022-05-31,305,neutral,0.51424146
2022-05-31,514,negative,0.9136114
2022-05-31,317,negative,0.614185
2022-05-31,450,negative,0.78570807
2022-05-31,635,negative,0.6370993
2022-05-30,7057,positive,0.8994481
2022-05-30,977,negative,0.71574396
2022-05-30,3124,neutral,0.46002328
2022-05-30,350,neutral,0.7938036
2022-05-30,589,positive,0.9803225
2022-05-30,1068,positive,0.6241595
2022-05-30,664,neutral,0.49824995
2022-05-30,340,negative,0.6024713
2022-05-30,1269,positive,0.9015201
2022-05-30,621,neutral,0.6188756
2022-05-30,1764,negative,0.71846795
2022-05-27,13368,positive,0.50620496
2022-05-27,618,positive,0.96792716
2022-05-27,411,negative,0.7904321
2022-05-26,354,positive,0.94460535
2022-05-26,1153,negative,0.7128953
2022-05-26,393,neutral,0.83243835
2022-05-25,815,positive,0.9342896
2022-05-25,1480,neutral,0.7798441
2022-05-25,275,positive,0.72571915
2022-05-25,861,negative,0.8182002
2022-05-25,525,negative,0.67728716
2022-05-25,416,neutral,0.6585924
2022-05-24,733,positive,0.712521
2022-05-23,379,neutral,0.63230133
2022-05-23,318,neutral,0.54683137
2022-05-23,810,neutral,0.5099019
2022-05-23,878,negative,0.9373887
2022-05-23,28718,neutral,0.65533847
2022-05-23,308,neutral,0.49224943
2022-05-20,1019,negative,0.84249204
2022-05-20,561,neutral,0.62392133
2022-05-20,1616,positive,0.47966105
2022-05-20,801,neutral,0.51891744
2022-05-20,14228,neutral,0.5396826
2022-05-18,12222,positive,0.79999495
2022-05-18,15907,negative,0.56565017
2022-05-18,492,neutral,0.46658722
2022-05-18,495,positive,0.80969626
2022-05-18,7390,positive,0.9757057
2022-05-17,696,neutral,0.63860023
2022-05-17,8672,negative,0.6434974
2022-05-16,1010,positive,0.52539355
2022-05-16,544,positive,0.5824387
2022-05-16,918,neutral,0.56635714
2022-05-16,1552,neutral,0.59086907
2022-05-13,415,neutral,0.7563582
2022-05-13,831,negative,0.6979878
2022-05-10,1845,positive,0.98222417
2022-05-09,1236,negative,0.67174256
2022-05-06,978,positive,0.77848375
2022-05-04,937,negative,0.6763728
2022-05-03,551,neutral,0.71622854
2022-04-29,343,neutral,0.6692239
2022-04-29,1444,positive,0.80319864
2022-04-29,2922,neutral,0.5120568
2022-04-25,8861,positive,0.95133764
2022-04-25,1416,neutral,0.5118497
2022-04-25,380,negative,0.9416721
2022-04-25,11837,neutral,0.61873215
2022-04-25,271,neutral,0.5699073
2022-04-25,915,positive,0.789021
2022-04-25,7327,positive,0.6781337
2022-04-25,1266,positive,0.958751
2022-04-25,2644,neutral,0.71107906
2022-04-25,2939,negative,0.7800155
2022-04-21,1610,positive,0.5017109
2022-04-21,9780,positive,0.9852004
2022-04-21,385,negative,0.6744765
2022-04-21,369,positive,0.85873604
2022-04-21,490,neutral,0.51892483
2022-04-21,661,negative,0.8213357
2022-04-20,2849,neutral,0.7234601
2022-04-18,2334,neutral,0.55033255
2022-04-18,2124,positive,0.5496651
